drug,n_total,n_young,n_old,n_death_young,n_death_old,rate_death_young,rate_death_old,age_ratio,ci_lower,ci_upper
DUPILUMAB,20777,6557,631,6,49,0.0009,0.0777,84.86,36.5,197.32
TOLVAPTAN,542,215,11,1,6,0.0047,0.5455,117.27,15.43,891.58
VEDOLIZUMAB,3531,1322,88,11,21,0.0083,0.2386,28.68,14.29,57.57
RISANKIZUMAB-RZAA,3359,668,76,8,17,0.012,0.2237,18.68,8.34,41.82
UPADACITINIB,2776,533,59,8,16,0.015,0.2712,18.07,8.08,40.41
INFLIXIMAB-DYYB,299,140,5,1,2,0.0071,0.4,56,6.03,520.06
ONABOTULINUMTOXINA,218,63,7,2,5,0.0317,0.7143,22.5,5.32,95.16
METRONIDAZOLE,168,63,6,2,4,0.0317,0.6667,21,4.8,91.93
CLOZAPINE,886,348,9,30,6,0.0862,0.6667,7.73,4.35,13.74
RAVULIZUMAB-CWVZ,141,35,4,1,3,0.0286,0.75,26.25,3.51,196.49
HUMAN IMMUNOGLOBULIN G,1251,230,40,13,15,0.0565,0.375,6.63,3.42,12.87
TIRZEPATIDE,12890,2366,75,9,3,0.0038,0.04,10.52,2.91,38.06
APREMILAST,354,72,8,4,4,0.0556,0.5,9,2.77,29.23
AVACOPAN,560,51,31,1,12,0.0196,0.3871,19.74,2.7,144.51
BENRALIZUMAB,375,33,18,2,10,0.0606,0.5556,9.17,2.25,37.37
EMICIZUMAB-KXWH,233,158,4,2,1,0.0127,0.25,19.75,2.22,175.73
INTERFERON BETA-1A,281,48,2,1,1,0.0208,0.5,24,2.21,260.3
RIBOCICLIB SUCCINATE,343,41,8,4,5,0.0976,0.625,6.41,2.19,18.76
OMEPRAZOLE,262,58,18,2,6,0.0345,0.3333,9.67,2.13,43.78
MYCOPHENOLATE MOFETIL,882,281,18,35,8,0.1246,0.4444,3.57,1.95,6.52
TADALAFIL,258,62,8,3,3,0.0484,0.375,7.75,1.87,32.09
INFLIXIMAB,1826,798,17,13,2,0.0163,0.1176,7.22,1.76,29.55
METHOTREXATE SODIUM,412,90,10,4,3,0.0444,0.3,6.75,1.76,25.96
APIXABAN,1273,80,210,3,43,0.0375,0.2048,5.46,1.74,17.1
ABEMACICLIB,816,97,11,1,2,0.0103,0.1818,17.64,1.74,179.12
TRAMADOL,250,127,9,28,6,0.2205,0.6667,3.02,1.72,5.33
LEVOTHYROXINE SODIUM,309,27,30,2,15,0.0741,0.5,6.75,1.7,26.85
OLAPARIB,207,20,9,2,6,0.1,0.6667,6.67,1.65,26.86
DEUTETRABENAZINE,267,28,12,2,6,0.0714,0.5,7,1.64,29.85
TACROLIMUS,795,192,8,16,3,0.0833,0.375,4.5,1.64,12.36
GOLIMUMAB,697,114,14,1,2,0.0088,0.1429,16.29,1.58,168.3
CAPECITABINE,343,32,5,4,3,0.125,0.6,4.8,1.5,15.36
PEMBROLIZUMAB,1962,147,76,13,19,0.0884,0.25,2.83,1.48,5.41
AMBRISENTAN,120,17,7,4,6,0.2353,0.8571,3.64,1.47,9.04
RAVULIZUMAB,142,40,5,2,2,0.05,0.4,8,1.42,44.92
LENALIDOMIDE,4203,79,345,2,50,0.0253,0.1449,5.72,1.42,23.03
ERENUMAB-AOOE,319,118,4,33,3,0.2797,0.75,2.68,1.42,5.06
COLCHICINE,109,40,4,10,3,0.25,0.75,3,1.38,6.54
DICLOFENAC,189,78,9,30,7,0.3846,0.7778,2.02,1.29,3.17
LANSOPRAZOLE,161,25,16,1,6,0.04,0.375,9.38,1.24,70.81
ADALIMUMAB,1479,467,18,65,6,0.1392,0.3333,2.39,1.2,4.78
